,name,distances_time,distances_km,lats,lngs
0,Cinema City,815,6129,50.0863837,14.4274028
1,Kino Aero,778,8120,50.090172,14.4719146
2,BIO OKO,445,2891,50.0999962,14.430005
3,Kino Světozor,689,5656,50.0818326,14.4252589
4,Cinema City,853,6563,50.0788488,14.4611085
5,Premiere Cinemas Praha Hostivař,1369,23252,50.053432,14.517467
6,Kino Lucerna,755,6280,50.0813695,14.4254026
7,Kino Atlas,641,4488,50.0914615,14.438476
8,Komorní kino Evald,843,7022,50.082452,14.42006
9,Cinema City,900,10960,50.0739296,14.4026741
10,Mat,797,6541,50.077838,14.4192923
11,CINEMA CITY Zličín,1282,17182,50.0539126,14.2871948
12,Village Cinemas Czech Republic s.r.o.,578,8849,50.0711112,14.4013542
13,Cinema City,590,7429,50.1371125,14.5020068
14,Kino NFA Ponrepo,892,7164,50.0830384,14.4175313
15,Cinema City Galaxie,1438,23876,50.0321765,14.5278204
16,"Heaven Praha, spol. s r.o.",887,7062,50.0747139,14.4146365
17,National Theatre,832,6833,50.0810018,14.413572
18,The Estates Theatre,741,6271,50.0859782,14.4236651
19,Wow show Prague,804,6109,50.0865801,14.4269187
20,Palace Cinemas Slovanský dum,815,6129,50.0863837,14.4274028
21,Cinema City,1371,23266,50.0532704,14.5168094
