,name,distances_time,distances_km
0,Cinema City,32 mins,5.0 km
1,Kino Aero,39 mins,6.6 km
2,BIO OKO,19 mins,3.2 km
3,Kino Světozor,32 mins,5.9 km
4,Cinema City,35 mins,7.9 km
5,Premiere Cinemas Praha Hostivař,56 mins,17.1 km
6,Kino Lucerna,33 mins,5.9 km
7,Kino Atlas,23 mins,4.4 km
8,Komorní kino Evald,32 mins,6.3 km
9,Cinema City,40 mins,7.5 km
10,Mat,33 mins,7.1 km
11,CINEMA CITY Zličín,1 hour 2 mins,19.5 km
12,Village Cinemas Czech Republic s.r.o.,43 mins,8.1 km
13,Cinema City,38 mins,9.8 km
14,Kino NFA Ponrepo,30 mins,6.1 km
15,Cinema City Galaxie,43 mins,16.2 km
16,"Heaven Praha, spol. s r.o.",30 mins,6.7 km
17,National Theatre,27 mins,6.3 km
18,The Estates Theatre,30 mins,5.5 km
19,Wow show Prague,32 mins,5.0 km
20,Palace Cinemas Slovanský dum,32 mins,5.0 km
21,Cinema City,56 mins,17.1 km
