,name,lat,lng,ratings
0,Cinema City,50.0863837,14.4274028,4.4
1,Kino Aero,50.090172,14.4719146,4.7
2,BIO OKO,50.0999962,14.430005,4.6
3,Kino Světozor,50.0818326,14.4252589,4.6
4,Cinema City,50.0788488,14.4611085,4.4
5,Premiere Cinemas Praha Hostivař,50.053432,14.517467,4.3
6,Kino Lucerna,50.0813695,14.4254026,4.2
7,Kino Atlas,50.0914615,14.438476,4.3
8,Komorní kino Evald,50.082452,14.42006,4.5
9,Cinema City,50.0739296,14.4026741,4.3
10,Mat,50.077838,14.4192923,4.2
11,CINEMA CITY Zličín,50.0539126,14.2871948,4.3
12,Cinema City,50.1371125,14.5020068,4.3
13,Kino NFA Ponrepo,50.0830384,14.4175313,4.5
14,Cinema City Galaxie,50.0321765,14.5278204,4.1
15,National Theatre,50.0810018,14.413572,4.4
16,The Estates Theatre,50.0859782,14.4236651,4.5
17,Wow show Prague,50.0865801,14.4269187,3.6
18,Palace Cinemas Slovanský dum,50.0863837,14.4274028,4.1
