,checkins,fan_count,name,lat,lon
0,5708584,425300,Praha,50.0833,14.4167
1,465251,9769,"Old Town Square, Prague, Rep Czech",50.086185235744,14.421045667794
2,209617,6849,Pražský hrad / Prague Castle,50.089320835167,14.402644479031
3,158268,10120,John Lennon Wall,50.086314494093,14.406704551224
4,109137,4685,Karlův most - Charles Bridge - Ponte Carlo - Puente de Carlos,50.086335699568,14.41294670105
5,107559,55665,Hard Rock Cafe Praha,50.086680549152,14.419377711225
6,98966,6037,Náplavka,50.07145,14.41441
7,95240,70551,Retro Music Hall,50.07448,14.43778
8,80248,37221,SaSaZu,50.099341132101,14.444736790792
9,67533,2785,Lucerna - Velký sál,50.080988049877,14.426212180148
10,62359,21333,Cafe~Cafe,50.084655257367,14.421758899759
11,60897,47950,KARLOVY LAZNE OFFICIAL,50.085416183563,14.413855289602
12,55252,47861,"Duplex, Prague, Czech Republic",50.082323942845,14.426536168424
13,53764,2264,Stromovka,50.10625619063,14.418958431859
14,47163,2842,Riegrovy sady,50.080157496293,14.442138904218
15,46707,9973,Hilton Prague,50.09334,14.43965
16,45971,14630,Prague Beer Museum,50.09055,14.42679
17,45551,48169,Chapeau Rouge Prague,50.08808,14.42482
18,41090,61376,Roxy Prague,50.090645801557,14.425833473876
19,38833,2459,Letná Stadium - AC Sparta Praha a.s. FOTBAL,50.099529285283,14.415833319535
20,33867,5235,Marina Grosseto Ristorante,50.088776661699,14.413563124475
21,32171,9045,Café Louvre,50.082193276081,14.418728781422
22,32115,36432,Lucerna Music Bar,50.081339152375,14.425443139049
23,29627,3328,Tipsport arena Praha,50.106417057633,14.433291360959
24,27432,933,Cinema City - Nový Smíchov,50.073966728784,14.402514976109
25,27432,19750,Hudební divadlo Karlín,50.0901,14.44145
26,27385,1623,Letenské sady,50.095873012487,14.420024668392
27,25106,9606,Lokál,50.0907,14.42587
28,24941,15607,Alibi cocktail & music bar,50.077185156,14.429165046991
29,24396,658,Vaclavske Namesti ( Vaclav Place ),50.083184462597,14.424970434852
30,24277,40607,Mecca Club Prague,50.105303531967,14.447823113153
31,23942,13435,Café Imperial,50.089761518746,14.432642122318
32,22749,23377,Palác Akropolis,50.08226,14.44892
33,22109,3940,InterContinental Praha,50.0913899,14.41832
34,21938,1167,Autobusové nádraží Praha Florenc,50.089429121972,14.440104229321
35,21723,310,"Karlův Most, Praha, Česká Republika",50.086045498974,14.416482585792
36,21595,11920,Buddha-Bar Prague,50.088267046456,14.425875126416
37,21459,11340,Klub Lávka,50.08559,14.41299
38,21410,44293,Palladium,50.088983286307,14.429343564371
39,20759,2203,T.G.I. Friday's,50.086199979871,14.426690265738
40,20382,17462,Hooters Prague,50.078714213842,14.421672779388
41,20348,19365,RODEO - Jecna,50.0754,14.4232
42,20093,1529,Náplavka Rašínovo Nábřeží,50.069405516667,14.414328533333
43,19902,462,"Petřín, Praha",50.072277783652,14.400589936229
44,19294,17723,Rock Café Prague (Official),50.082041960874,14.418650982552
45,19217,2551,Cafe Savoy,50.081078794902,14.407123681603
46,19117,16011,Fashion Club Prague,50.088673550929,14.427028819713
47,18645,2025,Kolkovna Olympia,50.081317939437,14.407202998321
48,18023,2549,Prague Marriott Hotel,50.0882,14.43124
49,17976,3012,Hotel Kings Court Prague,50.088318824352,14.428284846969
50,17508,15395,La Casa Argentina Praha,50.090739965197,14.426264866908
51,17457,9287,Four Seasons Hotel Prague,50.087691217378,14.414618974565
52,17104,3343,"Boscolo Prague, Autograph Collection",50.08641,14.43339
53,16211,976,Hilton Prague Old Town,50.088483943501,14.431943654269
54,15922,469,Cinema City Slovanský Dům,50.086104249395,14.427464112697
55,15431,9638,HEMINGWAY BAR PRAGUE,50.0840797,14.4141598
56,15416,2906,Veletržní palác - Národní galerie,50.10145888,14.432591328105
57,15229,9007,P.M. Club & Cocktail bar,50.07061,14.41597
58,15227,756,Restaurace Potrefená Husa,50.087254733993,14.432013241054
59,15042,7246,1oneclubprague,50.0852999,14.42109
60,14536,33982,Obchodní centrum Nový Smíchov,50.072860499269,14.402475847168
61,14387,1077,Grébovka,50.069840200798,14.445536226357
62,13909,1840,Ambiente Pizza Nuova,50.089313752853,14.428051262201
63,13871,17196,Hamleys Praha,50.08533,14.42556
64,13708,2906,Divadlo Hybernia,50.08737,14.42876
65,13634,137,Vltava River,50.085593680296,14.411362901962
66,13615,5692,MALOSTRANSKÁ BESEDA,50.088382670022,14.404683050039
67,13387,647,Výstaviště Praha,50.10472222,14.43083333
68,13074,6359,Čestr Ambiente,50.079517319697,14.432614356296
69,12978,2452,Fitness Kotva,50.088641400627,14.427089242904
70,12789,8676,Kino Lucerna,50.0811705,14.42583064689
71,12778,1209,Kolkovna Savarin,50.08495,14.42491
72,12415,2235,Pivovar Strahov a restaurace Sv.Norbert,50.08688,14.38851
73,12188,292,Petřínské sady,50.083304156164,14.401574055549
74,12181,2771,COMO,50.080922216305,14.428019584877
75,12056,18377,RADOST FX,50.07591,14.43235
76,11791,1413,NH Prague City,50.07129,14.39721
77,11700,7659,Národní technické muzeum,50.097577478179,14.424790163413
78,11550,705,Starbucks Česká republika,50.0801,14.43002
79,11378,1983,Sheraton Prague Charles Square Hotel,50.07732,14.42257
80,11294,1027,Koleje Strahov,50.080052965054,14.394141687571
81,11092,10552,Techtle Mechtle,50.07735266721,14.44011875747
82,11084,1888,U Vejvodů,50.08426,14.41882
83,11083,2622,Restaurant - Café Svatého Václava,50.0817909,14.4281597
84,10961,9045,NTK - Národní technická knihovna,50.10384,14.39055
85,10826,4257,BED LOUNGE Restaurant and Bar,50.088288288132,14.421453676979
