,name,lat,lng,rating
0,National Memorial to the Heroes of the Heydrich Terror,50.0759502,14.4169795,4.8
1,St. Vitus Cathedral,50.0908918,14.4005114,4.7
2,Old Town Square,50.0875692,14.4211874,4.6
3,Sightseeing Prague Tours Bus Boat & Castle,50.0848329,14.4214397,4.1
4,Vyšehrad,50.0644155,14.4200237,4.6
5,Municipal House,50.0877208,14.4277908,4.3
6,Dancing House,50.0754031,14.4141786,4.1
7,Lennon Wall,50.0862506,14.4067918,4.0
8,Taste of Prague Food Tour,50.0888036,14.4335086,5.0
9,Prague Segway Tours,50.0862063,14.4050372,4.9
10,Segway Experience Prague,50.08735,14.406008,4.3
11,The Powder Tower,50.087273,14.4277887,4.6
12,Prague Zoo,50.1178458,14.4058748,4.7
13,Jewish Ceremonial Hall,50.0900354,14.4170405,4.5
14,Mind Maze,50.0729875,14.4311133,4.7
15,Petrin Hill,50.0822503,14.3962449,4.5
16,Clementinum,50.0865979,14.4160186,4.3
17,Prague Communism and Nuclear Bunker Tour,50.0864214,14.4198022,4.3
18,KGB Museum,50.0871335,14.3995247,3.6
19,St. Nicholas Church,50.0882362,14.4031847,4.4
20,Prague Food Tour,50.0919576,14.4306216,4.6
21,Strahov Monastery,50.0861478,14.3892515,4.4
22,Lobkowiczký palác,50.091667,14.404486,4.5
23,Old Royal Palace,50.090412,14.401408,4.5
24,The Old-New Synagogue,50.0900716,14.4186049,3.8
25,Žižkov Television Tower,50.081047,14.4511421,4.1
26,Prague Astronomical Clock,50.0870215,14.4207065,4.6
27,St. George's Basilica,50.0912311,14.4023938,3.8
28,Prague Golf & Games,50.0796016,14.4182573,4.5
29,City Bike Prague,50.0879769,14.4266229,4.8
30,Golden Lane,50.0920422,14.4042322,4.0
31,Ecotours.cz,50.091726,14.418882,4.3
32,Malostranská mostecká věž,50.087234,14.406863,4.8
33,Dům U Černé Matky Boží,50.0869914,14.4254083,3.9
34,The Štefánik Observatory,50.0813121,14.39791,4.7
35,Sea World,50.105631,14.4317758,3.6
36,Krokodýlí Zoo Praha,50.1022176,14.4509252,4.2
37,Daliborka,50.0923406,14.4050047,4.6
38,Invisible Exhibition,50.0784456,14.4213952,4.9
39,Gröbe Villa,50.0692535,14.4448757,4.4
40,Palác Adria,50.0824621,14.4218316,4.0
41,Valdštejnská zahrada,50.0899219,14.4064402,4.7
42,Bertramka,50.070358,14.3951798,4.5
43,Franz Kafka Monument,50.0901314,14.4206809,4.1
44,Černín Palace,50.0887226,14.3901733,4.5
45,Queen Anne's Summer Palace,50.0937192,14.4053141,4.6
46,Schwarzenberský palác,50.0890754,14.3969252,4.4
47,Břevnov Monastery,50.084749,14.3568072,4.6
48,Jindřišská věž,50.0851494,14.4300494,4.3
49,Mihulka,50.0913474,14.4004673,3.5
50,Straca Academy,50.0920044,14.4118827,4.1
51,Letohrádek Kinských,50.0769259,14.3986894,4.4
